shape,origin,carat,colour,clarity,price,image_url
emerald,lab,1.00,F,VS1,650,
emerald,lab,1.00,F,VVS2,685,
emerald,lab,1.00,F,VVS1,720,
emerald,lab,1.00,E,VS1,685,
emerald,lab,1.00,E,VVS2,720,
emerald,lab,1.00,E,VVS1,755,
emerald,lab,1.00,D,VS1,720,
emerald,lab,1.00,D,VVS2,755,
emerald,lab,1.00,D,VVS1,790,
emerald,lab,1.20,F,VS1,755,
emerald,lab,1.20,F,VVS2,790,
emerald,lab,1.20,F,VVS1,825,
emerald,lab,1.20,E,VS1,790,
emerald,lab,1.20,E,VVS2,825,
emerald,lab,1.20,E,VVS1,860,
emerald,lab,1.20,D,VS1,825,
emerald,lab,1.20,D,VVS2,860,
emerald,lab,1.20,D,VVS1,895,
emerald,lab,1.30,F,VS1,860,
emerald,lab,1.30,F,VVS2,895,
emerald,lab,1.30,F,VVS1,930,
emerald,lab,1.30,E,VS1,895,
emerald,lab,1.30,E,VVS2,930,
emerald,lab,1.30,E,VVS1,965,
emerald,lab,1.30,D,VS1,930,
emerald,lab,1.30,D,VVS2,965,
emerald,lab,1.30,D,VVS1,1000,
emerald,lab,1.50,F,VS1,965,
emerald,lab,1.50,F,VVS2,1000,
emerald,lab,1.50,F,VVS1,1035,
emerald,lab,1.50,E,VS1,1000,
emerald,lab,1.50,E,VVS2,1035,
emerald,lab,1.50,E,VVS1,1070,
emerald,lab,1.50,D,VS1,1035,
emerald,lab,1.50,D,VVS2,1070,
emerald,lab,1.50,D,VVS1,1105,
emerald,lab,1.70,F,VS1,1070,
emerald,lab,1.70,F,VVS2,1105,
emerald,lab,1.70,F,VVS1,1140,
emerald,lab,1.70,E,VS1,1105,
emerald,lab,1.70,E,VVS2,1140,
emerald,lab,1.70,E,VVS1,1175,
emerald,lab,1.70,D,VS1,1140,
emerald,lab,1.70,D,VVS2,1175,
emerald,lab,1.70,D,VVS1,1210,
emerald,lab,1.80,F,VS1,1175,
emerald,lab,1.80,F,VVS2,1210,
emerald,lab,1.80,F,VVS1,1245,
emerald,lab,1.80,E,VS1,1210,
emerald,lab,1.80,E,VVS2,1245,
emerald,lab,1.80,E,VVS1,1280,
emerald,lab,1.80,D,VS1,1245,
emerald,lab,1.80,D,VVS2,1280,
emerald,lab,1.80,D,VVS1,1315,
emerald,lab,2.00,F,VS1,1280,
emerald,lab,2.00,F,VVS2,1315,
emerald,lab,2.00,F,VVS1,1350,
emerald,lab,2.00,E,VS1,1315,
emerald,lab,2.00,E,VVS2,1350,
emerald,lab,2.00,E,VVS1,1385,
emerald,lab,2.00,D,VS1,1350,
